Title,Link,Date,Medium,Dimensions,Object Number,Credit Line
Fin de Belle Journée,http://onlinecollection.nationalgallery.ie/objects/8399/fin-de-belle-journee?ctx=92132245-3fac-4cc3-a264-171bc656acc9&idx=1628,1921,Oil on canvas,66 x 100 cm,NGI.4254,"Presented, Sir Alfred Chester Beatty, 1950"
Harvesters at Rest,http://onlinecollection.nationalgallery.ie/objects/8400/harvesters-at-rest?ctx=92132245-3fac-4cc3-a264-171bc656acc9&idx=1629,1888,Oil on canvas,96 x 75 cm,NGI.4255,"Presented, Sir Alfred Chester Beatty, 1950"
A Windmill by Water,http://onlinecollection.nationalgallery.ie/objects/8401/a-windmill-by-water?ctx=92132245-3fac-4cc3-a264-171bc656acc9&idx=1630,1860s-1890s,Oil on canvas,66 x 55 cm,NGI.4256,"Presented, Sir Alfred Chester Beatty, 1950"
Shepherd and Sheep,http://onlinecollection.nationalgallery.ie/objects/8402/shepherd-and-sheep?ctx=92132245-3fac-4cc3-a264-171bc656acc9&idx=1631,c.1885-1888,Oil on panel,33 x 41 cm,NGI.4257,"Presented, Sir Alfred Chester Beatty, 1950"
A Man in Contemporary Dress,http://onlinecollection.nationalgallery.ie/objects/8403/a-man-in-contemporary-dress?ctx=92132245-3fac-4cc3-a264-171bc656acc9&idx=1632,1840s,Oil on panel,24 x 19 cm,NGI.4258,"Presented, Sir Alfred Chester Beatty, 1950"
A Guard,http://onlinecollection.nationalgallery.ie/objects/8404/a-guard?ctx=92132245-3fac-4cc3-a264-171bc656acc9&idx=1633,1840,Oil on panel,28 x 19 cm,NGI.4259,"Presented, Sir Alfred Chester Beatty, 1950"
A Highland Forester (Donald McLean),http://onlinecollection.nationalgallery.ie/objects/8405/a-highland-forester-donald-mclean?ctx=92132245-3fac-4cc3-a264-171bc656acc9&idx=1634,N/A,Oil on board,20 x 15 cm,NGI.426,"Purchased, 1894"
The Bibliophile,http://onlinecollection.nationalgallery.ie/objects/8406/the-bibliophile?ctx=92132245-3fac-4cc3-a264-171bc656acc9&idx=1635,1862,Oil on panel,23 x 17 cm,NGI.4260,"Presented, Sir Alfred Chester Beatty, 1950"
A Song,http://onlinecollection.nationalgallery.ie/objects/8407/a-song?ctx=92132245-3fac-4cc3-a264-171bc656acc9&idx=1636,1865,Oil on panel,29.7 x 22.5 cm,NGI.4261,"Presented, Sir Alfred Chester Beatty, 1950"
Man in a Red Cloak,http://onlinecollection.nationalgallery.ie/objects/8408/man-in-a-red-cloak?ctx=92132245-3fac-4cc3-a264-171bc656acc9&idx=1637,1867,Oil on panel,28 x 18 cm,NGI.4262,"Presented, Sir Alfred Chester Beatty, 1950"
Group of Cavalry in the Snow: Moreau and Dessoles before Hohenlinden,http://onlinecollection.nationalgallery.ie/objects/8409/group-of-cavalry-in-the-snow-moreau-and-dessoles-before-hoh?ctx=92132245-3fac-4cc3-a264-171bc656acc9&idx=1638,1875,Oil on wood panel,37.5 x 47 cm,NGI.4263,"Presented, Sir Alfred Chester Beatty, 1950"
A Seascape,http://onlinecollection.nationalgallery.ie/objects/8410/a-seascape?ctx=92132245-3fac-4cc3-a264-171bc656acc9&idx=1639,19th century,Oil on canvas,91 x 61 cm,NGI.4264,"Presented, Sir Alfred Chester Beatty, 1950"
Country Scene with Stile,http://onlinecollection.nationalgallery.ie/objects/8411/country-scene-with-stile?ctx=7b8c7cd9-2425-4e7c-84a3-2e282bfa20d3&idx=1640,c.1872,Oil on canvas,54 x 64 cm,NGI.4265,"Presented, Sir Alfred Chester Beatty, 1950"
A Soldier,http://onlinecollection.nationalgallery.ie/objects/8412/a-soldier?ctx=7b8c7cd9-2425-4e7c-84a3-2e282bfa20d3&idx=1641,1878,Oil on panel,24 x 14 cm,NGI.4266,"Presented, Sir Alfred Chester Beatty, 1950"
A Soldier with Troops in the Background,http://onlinecollection.nationalgallery.ie/objects/8413/a-soldier-with-troops-in-the-background?ctx=7b8c7cd9-2425-4e7c-84a3-2e282bfa20d3&idx=1642,1884,Oil on canvas,50 x 40 cm,NGI.4267,"Presented, Sir Alfred Chester Beatty, 1950"
"A Battle Scene, Soldiers in a Barn",http://onlinecollection.nationalgallery.ie/objects/8414/a-battle-scene-soldiers-in-a-barn?ctx=7b8c7cd9-2425-4e7c-84a3-2e282bfa20d3&idx=1643,c.1870-1885,Oil on canvas,72 x 91 cm,NGI.4268,"Presented, Sir Alfred Chester Beatty, 1950"
Arab Soldier Seated by a Doorway,http://onlinecollection.nationalgallery.ie/objects/8415/arab-soldier-seated-by-a-doorway?ctx=7b8c7cd9-2425-4e7c-84a3-2e282bfa20d3&idx=1644,c.1865-1889,Oil on canvas,41 x 34 cm,NGI.4269,"Presented, Sir Alfred Chester Beatty, 1950"
Saint Dominic,http://onlinecollection.nationalgallery.ie/objects/8416/saint-dominic?ctx=7b8c7cd9-2425-4e7c-84a3-2e282bfa20d3&idx=1645,c.1635,Oil on canvas,183.8 x 93.6 cm,NGI.427,"Purchased, 1895"
Horses and Buildings,http://onlinecollection.nationalgallery.ie/objects/8417/horses-and-buildings?ctx=7b8c7cd9-2425-4e7c-84a3-2e282bfa20d3&idx=1646,1883,Oil on canvas,17 x 22 cm,NGI.4270,"Presented, Sir Alfred Chester Beatty, 1950"
An Eastern Scene,http://onlinecollection.nationalgallery.ie/objects/8418/an-eastern-scene?ctx=7b8c7cd9-2425-4e7c-84a3-2e282bfa20d3&idx=1647,1888,Oil on canvas,22 x 16 cm,NGI.4271,"Presented, Sir Alfred Chester Beatty, 1950"
A Country Scene,http://onlinecollection.nationalgallery.ie/objects/8419/a-country-scene?ctx=7b8c7cd9-2425-4e7c-84a3-2e282bfa20d3&idx=1648,19th century,Oil on panel,17 x 22 cm,NGI.4272,"Presented, Sir Alfred Chester Beatty, 1950"
A Country Scene with a Child,http://onlinecollection.nationalgallery.ie/objects/8420/a-country-scene-with-a-child?ctx=7b8c7cd9-2425-4e7c-84a3-2e282bfa20d3&idx=1649,19th century,Oil on panel,35 x 46 cm,NGI.4273,"Presented, Sir Alfred Chester Beatty, 1950"
Les Coteaux de Melun,http://onlinecollection.nationalgallery.ie/objects/8421/les-coteaux-de-melun?ctx=7b8c7cd9-2425-4e7c-84a3-2e282bfa20d3&idx=1650,N/A,Oil on panel,43 x 66 cm,NGI.4274,"Presented, Sir Alfred Chester Beatty, 1950"
Arab Horsemen,http://onlinecollection.nationalgallery.ie/objects/8422/arab-horsemen?ctx=7b8c7cd9-2425-4e7c-84a3-2e282bfa20d3&idx=1651,1865/1885,Oil on canvas,57 x 69 cm,NGI.4275,"Presented, Sir Alfred Chester Beatty, 1950"
Eastern Soldiers with a Horse Drinking,http://onlinecollection.nationalgallery.ie/objects/8423/eastern-soldiers-with-a-horse-drinking?ctx=7b8c7cd9-2425-4e7c-84a3-2e282bfa20d3&idx=1652,1865/1885,Oil on panel,24 x 46 cm,NGI.4276,"Presented, Sir Alfred Chester Beatty, 1950"
A Country Scene with Pond,http://onlinecollection.nationalgallery.ie/objects/8424/a-country-scene-with-pond?ctx=7b8c7cd9-2425-4e7c-84a3-2e282bfa20d3&idx=1653,20th century,Oil on canvas,61 x 81 cm,NGI.4277,"Presented, Sir Alfred Chester Beatty, 1950"
Woman in a Black Dress,http://onlinecollection.nationalgallery.ie/objects/8425/woman-in-a-black-dress?ctx=7b8c7cd9-2425-4e7c-84a3-2e282bfa20d3&idx=1654,1880s,Oil on canvas,61 x 41 cm,NGI.4278,"Presented, Sir Alfred Chester Beatty, 1950"
"Ponte Vecchio, Verona",http://onlinecollection.nationalgallery.ie/objects/8426/ponte-vecchio-verona?ctx=7b8c7cd9-2425-4e7c-84a3-2e282bfa20d3&idx=1655,1880s-1890s,Oil on canvas,47 x 57 cm,NGI.4279,"Presented, Sir Alfred Chester Beatty, 1950"
Portrait of the Comte de Roucy,http://onlinecollection.nationalgallery.ie/objects/8427/portrait-of-the-comte-de-roucy?ctx=7b8c7cd9-2425-4e7c-84a3-2e282bfa20d3&idx=1656,1670,Oil on canvas,66 x 57 cm,NGI.428,"Purchased, 1895"
Marguerite in Church,http://onlinecollection.nationalgallery.ie/objects/8428/marguerite-in-church?ctx=7b8c7cd9-2425-4e7c-84a3-2e282bfa20d3&idx=1657,c.1861,Oil on canvas,50 x 75 cm,NGI.4280,"Presented, Sir Alfred Chester Beatty, 1950"
Cattle and Sheep,http://onlinecollection.nationalgallery.ie/objects/8429/cattle-and-sheep?ctx=7b8c7cd9-2425-4e7c-84a3-2e282bfa20d3&idx=1658,c.1850-1865,Oil on panel,34 x 48 cm,NGI.4281,"Presented, Sir Alfred Chester Beatty, 1950"
Valley of the Tocques,http://onlinecollection.nationalgallery.ie/objects/8430/valley-of-the-tocques?ctx=7b8c7cd9-2425-4e7c-84a3-2e282bfa20d3&idx=1659,1855,Oil on canvas,100 x 149 cm,NGI.4282,"Presented, Sir Alfred Chester Beatty, 1950"
Two Young Girls,http://onlinecollection.nationalgallery.ie/objects/8431/two-young-girls?ctx=3625b899-667e-4f7e-98ec-55d1fdb92d4c&idx=1660,c.1850-1855,Oil on canvas,61 x 51 cm,NGI.4283,"Presented, Sir Alfred Chester Beatty, 1950"
Cows in a Marsh,http://onlinecollection.nationalgallery.ie/objects/8432/cows-in-a-marsh?ctx=3625b899-667e-4f7e-98ec-55d1fdb92d4c&idx=1661,c.1875-1890,Oil on canvas,73 x 92 cm,NGI.4284,"Presented, Sir Alfred Chester Beatty, 1950"
Loading the Corn,http://onlinecollection.nationalgallery.ie/objects/8433/loading-the-corn?ctx=3625b899-667e-4f7e-98ec-55d1fdb92d4c&idx=1662,c.1870-1893,Oil on panel,27 x 35 cm,NGI.4285,"Presented, Sir Alfred Chester Beatty, 1950"
Marseilles Harbour with a Lighthouse,http://onlinecollection.nationalgallery.ie/objects/8434/marseilles-harbour-with-a-lighthouse?ctx=3625b899-667e-4f7e-98ec-55d1fdb92d4c&idx=1663,c.1887,Oil on canvas,47 x 56 cm,NGI.4286,"Presented, Sir Alfred Chester Beatty, 1950"
Venice: a Canal Scene,http://onlinecollection.nationalgallery.ie/objects/8435/venice-a-canal-scene?ctx=3625b899-667e-4f7e-98ec-55d1fdb92d4c&idx=1664,c.1846-1911,Oil on canvas,55 x 80 cm,NGI.4287,"Presented, Sir Alfred Chester Beatty, 1950"
Venice: a Sailing Ship,http://onlinecollection.nationalgallery.ie/objects/8436/venice-a-sailing-ship?ctx=3625b899-667e-4f7e-98ec-55d1fdb92d4c&idx=1665,1883,Oil on panel,70 x 108 cm,NGI.4288,"Presented, Sir Alfred Chester Beatty, 1950"
Venice: a Scene with Boats,http://onlinecollection.nationalgallery.ie/objects/8437/venice-a-scene-with-boats?ctx=3625b899-667e-4f7e-98ec-55d1fdb92d4c&idx=1666,c.1846-1911,Oil on canvas,83 x 117 cm,NGI.4289,"Presented, Sir Alfred Chester Beatty, 1950"
"Portrait of James Napper Tandy (1740-1803), United Irishman",http://onlinecollection.nationalgallery.ie/objects/8438/portrait-of-james-napper-tandy-17401803-united-irishman?ctx=3625b899-667e-4f7e-98ec-55d1fdb92d4c&idx=1667,18th century,Oil on canvas,70 x 57 cm,NGI.429,"Presented, Mr Parker, 1872"
Windmill in Montmartre,http://onlinecollection.nationalgallery.ie/objects/8439/windmill-in-montmartre?ctx=3625b899-667e-4f7e-98ec-55d1fdb92d4c&idx=1668,c.1855-1860,Oil on canvas,34 x 55 cm,NGI.4290,"Presented, Sir Alfred Chester Beatty, 1950"
Still Life with Oysters,http://onlinecollection.nationalgallery.ie/objects/8440/still-life-with-oysters?ctx=3625b899-667e-4f7e-98ec-55d1fdb92d4c&idx=1669,c.1860-1870,Oil on canvas,38 x 48 cm,NGI.4291,"Presented, Sir Alfred Chester Beatty, 1950"
An Italian Landscape,http://onlinecollection.nationalgallery.ie/objects/8441/an-italian-landscape?ctx=3625b899-667e-4f7e-98ec-55d1fdb92d4c&idx=1670,1645-1650,Oil on canvas laid on board,80 x 97 cm,NGI.4292,"Presented, Sir Alfred Chester Beatty, 1950"
The Wilds of Lochaber,http://onlinecollection.nationalgallery.ie/objects/8442/the-wilds-of-lochaber?ctx=3625b899-667e-4f7e-98ec-55d1fdb92d4c&idx=1671,20th century,Oil on canvas,153 x 183 cm,NGI.4293,"Presented, Sir Alfred Chester Beatty, 1950"
The Bookworm,http://onlinecollection.nationalgallery.ie/objects/8443/the-bookworm?ctx=3625b899-667e-4f7e-98ec-55d1fdb92d4c&idx=1672,19th century,Oil on canvas,45 x 54 cm,NGI.4294,"Presented, Sir Alfred Chester Beatty, 1950"
Portrait of Monsieur A. Koch,http://onlinecollection.nationalgallery.ie/objects/8444/portrait-of-monsieur-a-koch?ctx=3625b899-667e-4f7e-98ec-55d1fdb92d4c&idx=1673,c.1880-1900,Oil on canvas,32 x 24 cm,NGI.4295,"Presented, Sir Alfred Chester Beatty, 1950"
Lauretta,http://onlinecollection.nationalgallery.ie/objects/8445/lauretta?ctx=3625b899-667e-4f7e-98ec-55d1fdb92d4c&idx=1674,c.1888,Oil on canvas,46 x 38 cm,NGI.4296,"Presented, Sir Alfred Chester Beatty, 1950"
Erasmus in his Study,http://onlinecollection.nationalgallery.ie/objects/8446/erasmus-in-his-study?ctx=3625b899-667e-4f7e-98ec-55d1fdb92d4c&idx=1675,c.1854,Oil on panel,60 x 77 cm,NGI.4297,"Presented, Sir Alfred Chester Beatty, 1950"
Children Playing in a Meadow,http://onlinecollection.nationalgallery.ie/objects/8447/children-playing-in-a-meadow?ctx=3625b899-667e-4f7e-98ec-55d1fdb92d4c&idx=1676,c.1860,Oil on canvas,46 x 55 cm,NGI.4298,"Presented, Sir Alfred Chester Beatty, 1950"
A Mother and Child,http://onlinecollection.nationalgallery.ie/objects/8448/a-mother-and-child?ctx=3625b899-667e-4f7e-98ec-55d1fdb92d4c&idx=1677,19th century,Oil on canvas,60 x 70 cm,NGI.4299,"Presented, Sir Alfred Chester Beatty, 1950"
The Head of a Wild Boar,http://onlinecollection.nationalgallery.ie/objects/8449/the-head-of-a-wild-boar?ctx=3625b899-667e-4f7e-98ec-55d1fdb92d4c&idx=1678,c.1650,Oil on canvas,50.4 x 66.7 cm,NGI.43,"Purchased, 1866"
General Sir James Stewart-Denham (1744-1839),http://onlinecollection.nationalgallery.ie/objects/8450/general-sir-james-stewartdenham-17441839?ctx=3625b899-667e-4f7e-98ec-55d1fdb92d4c&idx=1679,N/A,Oil on canvas,124 x 98 cm,NGI.430,"Purchased, 1895"
Portrait of a Young Lady,http://onlinecollection.nationalgallery.ie/objects/8451/portrait-of-a-young-lady?ctx=664ba1e5-822a-4d00-aebf-313d9af05dfc&idx=1680,1759,Oil on canvas,76 x 63 cm,NGI.4300,"Purchased, 1978"
Portrait of Caroline Scally,http://onlinecollection.nationalgallery.ie/objects/8452/portrait-of-caroline-scally?ctx=664ba1e5-822a-4d00-aebf-313d9af05dfc&idx=1681,N/A,Oil on board,80 x 57 cm,NGI.4301,"Purchased, 1978"
The Incredulity of Saint Thomas,http://onlinecollection.nationalgallery.ie/objects/8453/the-incredulity-of-saint-thomas?ctx=664ba1e5-822a-4d00-aebf-313d9af05dfc&idx=1682,1640s,Oil on canvas,189 x 128 cm,NGI.4302,"Purchased, 1978"
A View of Falmouth,http://onlinecollection.nationalgallery.ie/objects/8454/a-view-of-falmouth?ctx=664ba1e5-822a-4d00-aebf-313d9af05dfc&idx=1683,early 19th century,Oil on canvas,91 x 153 cm,NGI.4303,"Purchased, 1978 (Shaw Fund)"
An Interior with Members of a Family,http://onlinecollection.nationalgallery.ie/objects/8455/an-interior-with-members-of-a-family?ctx=664ba1e5-822a-4d00-aebf-313d9af05dfc&idx=1684,1770s,Oil on canvas,63.4 x 75.8 cm,NGI.4304,"Purchased, 1978 (Shaw Fund)"
A Landscape with a Setting Sun,http://onlinecollection.nationalgallery.ie/objects/8456/a-landscape-with-a-setting-sun?ctx=664ba1e5-822a-4d00-aebf-313d9af05dfc&idx=1685,N/A,Oil on canvas,41 x 56 cm,NGI.4305,"Bequeathed, 1978"
A Woodland Scene,http://onlinecollection.nationalgallery.ie/objects/8457/a-woodland-scene?ctx=664ba1e5-822a-4d00-aebf-313d9af05dfc&idx=1686,c.1760,Oil on panel,25 x 30.5 cm,NGI.4306,"Purchased, 1978"
Portrait of the Artist's Wife (Dochie Jones),http://onlinecollection.nationalgallery.ie/objects/8458/portrait-of-the-artists-wife-dochie-jones?ctx=664ba1e5-822a-4d00-aebf-313d9af05dfc&idx=1687,1889,Oil on canvas,71 x 51 cm,NGI.4308,"Bequeathed, Mr A. Garstin, 1978"
For the Road,http://onlinecollection.nationalgallery.ie/objects/8459/for-the-road?ctx=664ba1e5-822a-4d00-aebf-313d9af05dfc&idx=1688,1951,Oil on canvas,61 x 92 cm,NGI.4309,"Presented, 1978"
Possible Portrait of Esther Johnson ('Stella'),http://onlinecollection.nationalgallery.ie/objects/8460/possible-portrait-of-esther-johnson-stella?ctx=664ba1e5-822a-4d00-aebf-313d9af05dfc&idx=1689,N/A,Oil on canvas,74 x 58 cm,NGI.431,"Purchased, Dublin, Mr J. Nairn, 1893"
Portrait of John Williamson,http://onlinecollection.nationalgallery.ie/objects/8461/portrait-of-john-williamson?ctx=664ba1e5-822a-4d00-aebf-313d9af05dfc&idx=1690,1825,Oil on canvas,76 x 24 cm,NGI.4310,"Purchased, 1978"
Monsieur le Comte de Basterot,http://onlinecollection.nationalgallery.ie/objects/8462/monsieur-le-comte-de-basterot?ctx=664ba1e5-822a-4d00-aebf-313d9af05dfc&idx=1691,19th century,Oil on canvas,79 x 64 cm,NGI.4311,"Presented, 1978"
Portrait of Thomas Moore in his Study at Sloperton Cottage,http://onlinecollection.nationalgallery.ie/objects/8463/portrait-of-thomas-moore-in-his-study-at-sloperton-cottage?ctx=664ba1e5-822a-4d00-aebf-313d9af05dfc&idx=1692,19th century,Oil on panel,30 x 36 cm,NGI.4312,"Purchased, 1978"
Venus and Cupid (Day),http://onlinecollection.nationalgallery.ie/objects/8464/venus-and-cupid-day?ctx=664ba1e5-822a-4d00-aebf-313d9af05dfc&idx=1693,c.1755,Oil on canvas,114 x 133 cm,NGI.4313,"Purchased, 1978 (Shaw Fund)"
A Landscape with Cattle,http://onlinecollection.nationalgallery.ie/objects/8465/a-landscape-with-cattle?ctx=664ba1e5-822a-4d00-aebf-313d9af05dfc&idx=1694,1892,Oil on canvas,36 x 51 cm,NGI.4314,"Presented, 1978"
"Triptych with the Virgin and Child with a Donor, Saint George and Saint Giles",http://onlinecollection.nationalgallery.ie/objects/8466/triptych-with-the-virgin-and-child-with-a-donor-saint-georg?ctx=664ba1e5-822a-4d00-aebf-313d9af05dfc&idx=1695,N/A,Oil on oak panel,94.2 x 67 cm94.5 x 28.2 cm94.5 x 25.7 cm,NGI.4315,"Purchased, 1979"
A Three-fold Screen,http://onlinecollection.nationalgallery.ie/objects/8467/a-threefold-screen?ctx=664ba1e5-822a-4d00-aebf-313d9af05dfc&idx=1696,N/A,Oil on canvas,171 x 58 cm,NGI.4316,"Bequeathed, Miss R. Kirkpatrick, 1978"
An Abstract Composition,http://onlinecollection.nationalgallery.ie/objects/8468/an-abstract-composition?ctx=664ba1e5-822a-4d00-aebf-313d9af05dfc&idx=1697,N/A,Oil on canvas,39 x 115 cm,NGI.4317,"Bequeathed, Miss R. Kirkpatrick, 1978"
A Composition - Sea Rhythm,http://onlinecollection.nationalgallery.ie/objects/8469/a-composition--sea-rhythm?ctx=664ba1e5-822a-4d00-aebf-313d9af05dfc&idx=1698,N/A,Oil on canvas,44 x 144 cm,NGI.4318,"Bequeathed, Miss R. Kirkpatrick, 1978"
The Virgin of Éire,http://onlinecollection.nationalgallery.ie/objects/8470/the-virgin-of-eire?ctx=664ba1e5-822a-4d00-aebf-313d9af05dfc&idx=1699,1940s,Oil on canvas,64 x 92 cm,NGI.4319,"Bequeathed, 1978"
Scene on the Ice,http://onlinecollection.nationalgallery.ie/objects/8471/scene-on-the-ice?ctx=f6d56bff-9bce-4432-a3df-c4d9509be5c7&idx=1700,N/A,Oil on wood panel,32.5 x 45.1 cm,NGI.432,"Purchased, 1889"
Achill Horses,http://onlinecollection.nationalgallery.ie/objects/8472/achill-horses?ctx=f6d56bff-9bce-4432-a3df-c4d9509be5c7&idx=1701,1941,Oil on canvas,61 x 92 cm,NGI.4320,"Bequeathed, Miss R. Kirkpatrick, 1978"
I Have Trodden the Winepress Alone,http://onlinecollection.nationalgallery.ie/objects/8473/i-have-trodden-the-winepress-alone?ctx=f6d56bff-9bce-4432-a3df-c4d9509be5c7&idx=1702,N/A,Oil on canvas,76 x 56 cm,NGI.4321,"Bequeathed, Miss R. Kirkpatrick, 1978"
A Landscape with a Tree,http://onlinecollection.nationalgallery.ie/objects/8474/a-landscape-with-a-tree?ctx=f6d56bff-9bce-4432-a3df-c4d9509be5c7&idx=1703,1943,Oil on board,69 x 69 cm,NGI.4322,"Bequeathed, 1978"
Lady Blanche Crosses the Ravine Guided by the Count and Saint Foix (a Scene from 'The Mysteries of Udolpho'),http://onlinecollection.nationalgallery.ie/objects/8475/lady-blanche-crosses-the-ravine-guided-by-the-count-and-sain?ctx=f6d56bff-9bce-4432-a3df-c4d9509be5c7&idx=1704,c.1796-98,Oil on canvas,77 x 108 cm,NGI.4323,"Purchased, 1979"
"Between the Cliffs, Aberystwyth",http://onlinecollection.nationalgallery.ie/objects/8476/between-the-cliffs-aberystwyth?ctx=f6d56bff-9bce-4432-a3df-c4d9509be5c7&idx=1705,N/A,Oil on panel,24 x 32 cm,NGI.4324,"Purchased, 1979"
A Mare and Foal,http://onlinecollection.nationalgallery.ie/objects/8477/a-mare-and-foal?ctx=f6d56bff-9bce-4432-a3df-c4d9509be5c7&idx=1706,N/A,Oil on canvas,50.5 x 69 cm,NGI.4325,"Purchased, 1979"
"Portrait of Rt Hon. John Hely-Hutchinson (1724-1794), Provost of Trinity College, Dublin",http://onlinecollection.nationalgallery.ie/objects/8478/portrait-of-rt-hon-john-helyhutchinson-17241794-provos?ctx=f6d56bff-9bce-4432-a3df-c4d9509be5c7&idx=1707,1778,Oil on canvas,128.8 x 99.1 cm,NGI.4326,"Purchased, 1979 (Shaw Fund)"
An American Landscape,http://onlinecollection.nationalgallery.ie/objects/8479/an-american-landscape?ctx=f6d56bff-9bce-4432-a3df-c4d9509be5c7&idx=1708,19th century,Oil on canvas,83 x 105.5 cm,NGI.4327,"Purchased, 1979"
"Portrait of Patrick Sarsfield, Earl of Lucan (d.1693)",http://onlinecollection.nationalgallery.ie/objects/8480/portrait-of-patrick-sarsfield-earl-of-lucan-d1693?ctx=f6d56bff-9bce-4432-a3df-c4d9509be5c7&idx=1709,17th century,Oil on canvas,76 x 63 cm,NGI.4328,"Bequeathed, 1979"
Paddy Whack,http://onlinecollection.nationalgallery.ie/objects/8481/paddy-whack?ctx=f6d56bff-9bce-4432-a3df-c4d9509be5c7&idx=1710,1800-1810,Oil on canvas,60 x 74 cm,NGI.4329,"Purchased, 1979"
Bust of a Young Man,http://onlinecollection.nationalgallery.ie/objects/8482/bust-of-a-young-man?ctx=f6d56bff-9bce-4432-a3df-c4d9509be5c7&idx=1711,1631-1635,Oil on wood panel,48 x 37 cm,NGI.433,"Purchased, 1895"
"Invitation, Hesitation and Persuasion",http://onlinecollection.nationalgallery.ie/objects/8483/invitation-hesitation-and-persuasion?ctx=f6d56bff-9bce-4432-a3df-c4d9509be5c7&idx=1712,c.1846,Oil on canvas,102 x 127 cm,NGI.4330,"Purchased, 1979"
A Study from Nature - Glendalough - Guides to the Churches on the Look-out for Tourists' Baskets,http://onlinecollection.nationalgallery.ie/objects/8484/a-study-from-nature--glendalough--guides-to-the-churches-o?ctx=f6d56bff-9bce-4432-a3df-c4d9509be5c7&idx=1713,N/A,Oil on panel,108 x 150 cm,NGI.4331,"Purchased, 1979"
A Landscape with a Child in White,http://onlinecollection.nationalgallery.ie/objects/8485/a-landscape-with-a-child-in-white?ctx=f6d56bff-9bce-4432-a3df-c4d9509be5c7&idx=1714,N/A,Oil on board,23 x 28 cm,NGI.4332,"Bequeathed, 1980"
A King Charles Spaniel,http://onlinecollection.nationalgallery.ie/objects/8486/a-king-charles-spaniel?ctx=f6d56bff-9bce-4432-a3df-c4d9509be5c7&idx=1715,1845,Oil on canvas,35 x 35 cm,NGI.4333,"Bequeathed, 1980"
Nudes Dancing round a Fountain by Moonlight,http://onlinecollection.nationalgallery.ie/objects/8487/nudes-dancing-round-a-fountain-by-moonlight?ctx=f6d56bff-9bce-4432-a3df-c4d9509be5c7&idx=1716,c.1914,Oil on canvas,88 x 63 cm,NGI.4334,"Purchased, 1980"
"The Nave of Saint Patrick's Cathedral, Dublin",http://onlinecollection.nationalgallery.ie/objects/8488/the-nave-of-saint-patricks-cathedral-dublin?ctx=f6d56bff-9bce-4432-a3df-c4d9509be5c7&idx=1717,1828,Oil on canvas,47.8 x 35.5 cm,NGI.4335,"Purchased, 1980"
Portrait of William Congreve,http://onlinecollection.nationalgallery.ie/objects/8489/portrait-of-william-congreve?ctx=f6d56bff-9bce-4432-a3df-c4d9509be5c7&idx=1718,N/A,Oil on canvas,90 x 35 cm,NGI.4336,"Presented, 1980"
Shield with Head of Medusa (convex side) and Battle Scenes (concave side),http://onlinecollection.nationalgallery.ie/objects/8490/shield-with-head-of-medusa-convex-side-and-battle-scenes-?ctx=f6d56bff-9bce-4432-a3df-c4d9509be5c7&idx=1719,17th century,"Oil on canvas, laid on poplar wood shield",58.5 cm,NGI.4337,Provenance unknown
"Portrait of Miss Ormsby, later Mrs Homan",http://onlinecollection.nationalgallery.ie/objects/8491/portrait-of-miss-ormsby-later-mrs-homan?ctx=5e393997-8eba-47da-8c1c-38783049f602&idx=1720,1879,Oil on canvas,53.5 x 43 cm,NGI.4338,"Presented, 1980"
Portrait of The Marquess and Marchioness of Antrim,http://onlinecollection.nationalgallery.ie/objects/8492/portrait-of-the-marquess-and-marchioness-of-antrim?ctx=5e393997-8eba-47da-8c1c-38783049f602&idx=1721,1782,Oil on canvas,99.7 x 128.3 cm,NGI.4339,"Purchased, 1980 (Shaw Fund)"
A Landscape with Cattle,http://onlinecollection.nationalgallery.ie/objects/8493/a-landscape-with-cattle?ctx=5e393997-8eba-47da-8c1c-38783049f602&idx=1722,N/A,Oil on canvas,36 x 46 cm,NGI.434,"Purchased, 1895"
"Portrait of Henrietta, Duchess of Bolton (1682-1730) as a Shepherdess",http://onlinecollection.nationalgallery.ie/objects/8494/portrait-of-henrietta-duchess-of-bolton-16821730-as-a-sh?ctx=5e393997-8eba-47da-8c1c-38783049f602&idx=1723,1721,Oil on canvas,120 x 148 cm,NGI.4340,"Purchased, 1980"
Portrait of Lady Mary Wortley Montagu (1689-1762),http://onlinecollection.nationalgallery.ie/objects/8495/portrait-of-lady-mary-wortley-montagu-16891762?ctx=5e393997-8eba-47da-8c1c-38783049f602&idx=1724,c.1718-1720,Oil on canvas,216.2 x 127.5 cm,NGI.4341,"Presented, Mr Louis Cohen, in memory of his brother Israel, 1981"
"Portrait of Elizabeth, Countess of Bridgewater (1689-1714)",http://onlinecollection.nationalgallery.ie/objects/8496/portrait-of-elizabeth-countess-of-bridgewater-16891714?ctx=5e393997-8eba-47da-8c1c-38783049f602&idx=1725,c.1710-1714,Oil on canvas,215.2 x 125.8 cm,NGI.4342,"Presented, Mr Louis Cohen, in memory of his brother Israel, 1981"
The Constable of the Night's Ramble,http://onlinecollection.nationalgallery.ie/objects/8497/the-constable-of-the-nights-ramble?ctx=5e393997-8eba-47da-8c1c-38783049f602&idx=1726,before 1771,Oil on canvas,62.2 x 75 cm,NGI.4343,"Purchased, 1981"
