Title,Link,Date,Medium,Dimensions,Object Number,Credit Line
A Fishing Boat on a Strand,http://onlinecollection.nationalgallery.ie/objects/2933/a-fishing-boat-on-a-strand?ctx=c1d7bb3c-01e8-44d4-8f6d-be05b818fde2&idx=603,N/A,Oil on board,32 x 45 cm,NGI.1492,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Haystack,http://onlinecollection.nationalgallery.ie/objects/2934/haystack?ctx=c1d7bb3c-01e8-44d4-8f6d-be05b818fde2&idx=604,N/A,Oil on canvas,24 x 19 cm,NGI.1493,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
"Sunset, Dublin Bay",http://onlinecollection.nationalgallery.ie/objects/2935/sunset-dublin-bay?ctx=c1d7bb3c-01e8-44d4-8f6d-be05b818fde2&idx=605,N/A,Oil on board,30 x 43 cm,NGI.1495,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
A Lightship Seen from the Shore,http://onlinecollection.nationalgallery.ie/objects/2936/a-lightship-seen-from-the-shore?ctx=c1d7bb3c-01e8-44d4-8f6d-be05b818fde2&idx=606,N/A,Oil on board,31 x 45 cm,NGI.1496,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Trees on a Hilltop,http://onlinecollection.nationalgallery.ie/objects/2937/trees-on-a-hilltop?ctx=c1d7bb3c-01e8-44d4-8f6d-be05b818fde2&idx=607,N/A,Oil on board,30 x 46 cm,NGI.1497,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Farmstead near Trees,http://onlinecollection.nationalgallery.ie/objects/2938/farmstead-near-trees?ctx=c1d7bb3c-01e8-44d4-8f6d-be05b818fde2&idx=608,N/A,Oil on board,31 x 46 cm,NGI.1498,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
A Schooner at a Quayside,http://onlinecollection.nationalgallery.ie/objects/2939/a-schooner-at-a-quayside?ctx=c1d7bb3c-01e8-44d4-8f6d-be05b818fde2&idx=609,N/A,Oil on board,33 x 40 cm,NGI.1499,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Portrait of Anton Hundertpfundt,http://onlinecollection.nationalgallery.ie/objects/2940/portrait-of-anton-hundertpfundt?ctx=c1d7bb3c-01e8-44d4-8f6d-be05b818fde2&idx=610,1526,Oil on limewood panel,68.6 x 47.6 cm,NGI.15,"Purchased, 1872"
Portrait of a Lady Playing a Lute,http://onlinecollection.nationalgallery.ie/objects/2941/portrait-of-a-lady-playing-a-lute?ctx=c1d7bb3c-01e8-44d4-8f6d-be05b818fde2&idx=611,1648,Oil on canvas,79 x 63 cm,NGI.150,"Purchased, 1889"
A View of Malahide Strand,http://onlinecollection.nationalgallery.ie/objects/2942/a-view-of-malahide-strand?ctx=c1d7bb3c-01e8-44d4-8f6d-be05b818fde2&idx=612,N/A,Oil on board,31 x 48 cm,NGI.1500,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
